ess8_id,cntry,ess8_reg,nuts1,nuts2,nuts3,lrscale,rlgdgr,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
AT000000001,AT,AT13,AT1,AT13,,0,0,2,6,1,2,2,3,5,1,2,4,3,1,2,6,3,6,1,1,1,6,3,
AT000000002,AT,AT13,AT1,AT13,,1,0,3,6,2,3,5,3,5,3,4,3,2,3,3,4,5,5,2,2,2,5,5,
AT000000004,AT,AT31,AT3,AT31,,5,6,3,5,2,4,1,6,5,2,3,2,2,3,6,1,6,3,3,1,2,2,3,
AT000000006,AT,AT13,AT1,AT13,,0,7,2,3,2,2,2,3,3,2,2,2,2,3,3,2,3,4,2,2,3,2,2,
AT000000010,AT,AT22,AT2,AT22,,5,10,3,4,1,4,3,3,5,3,1,1,1,1,3,4,5,2,3,1,1,4,1,
AT000000011,AT,AT21,AT2,AT21,,5,9,3,5,1,3,1,4,1,2,1,3,4,1,3,1,6,2,3,2,2,2,3,
AT000000012,AT,AT12,AT1,AT12,,4,5,2,5,2,6,3,5,4,3,1,2,2,2,4,3,5,3,2,5,4,3,2,
AT000000013,AT,AT22,AT2,AT22,,5,6,3,5,2,4,2,4,3,2,4,3,1,1,3,2,5,2,2,1,1,1,3,
AT000000014,AT,AT31,AT3,AT31,,5,0,3,5,4,3,3,2,3,4,3,3,3,3,4,3,4,3,3,3,4,4,3,
AT000000015,AT,AT13,AT1,AT13,,5,4,3,4,4,3,2,1,2,3,2,2,3,1,4,2,4,3,3,2,2,3,2,
AT000000016,AT,AT22,AT2,AT22,,5,10,5,5,1,5,1,3,5,2,1,3,3,1,5,1,3,1,1,1,3,5,4,
AT000000017,AT,AT13,AT1,AT13,,8,0,3,4,2,3,2,2,3,2,4,3,2,2,2,2,4,2,2,2,3,5,3,
AT000000018,AT,AT31,AT3,AT31,,8,5,2,3,3,3,4,1,2,4,1,1,1,1,1,1,2,2,2,1,2,1,1,
AT000000019,AT,AT31,AT3,AT31,,5,6,2,2,2,3,2,3,4,3,3,2,2,2,3,2,4,3,3,2,1,3,2,
AT000000021,AT,AT21,AT2,AT21,,88,6,5,2,3,6,2,6,4,5,2,3,3,3,5,3,5,4,6,3,3,3,5,
AT000000022,AT,AT31,AT3,AT31,,6,1,4,5,1,2,1,3,1,1,1,3,1,1,3,1,5,1,2,1,1,3,1,
AT000000023,AT,AT13,AT1,AT13,,3,0,1,2,2,2,2,1,2,2,6,1,1,2,1,2,2,4,2,1,3,4,1,
